work_id,mp_name,house,state,constituency,vendor_id,work_category,recommended_date,sanction_date,sanctioned_amount,expenditure_amount,completion_percent,beneficiary_ids,tenure_end,is_anomaly,anomaly_type
W-895408,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-243175,Sanitation,2024-05-15,2024-06-09,29645685.57,20523041.06,82,"B-108302,B-523421,B-592264,B-158437,B-875054",,False,
W-100818,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-264852,Education,2026-08-12,2026-08-29,136994307.6,130943604.17,57,"B-803404,B-273809,B-355342,B-579335,B-987146",,False,
W-910203,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-519290,Health,2024-05-30,2024-06-13,22698001.62,18075024.4,85,"B-672158,B-896999,B-112466",,False,
W-941432,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-696489,Sanitation,2022-01-18,2022-02-14,32234788.07,23023077.62,57,"B-654231,B-192261,B-98978",,False,
W-992238,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-883307,Education,2026-07-06,2026-07-07,44995643.43,31538145.37,80,"B-595125,B-177250,B-590316,B-321236",,False,
W-689942,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-731206,Other,2022-02-27,2022-03-25,21452341.53,20793287.24,60,"B-560589,B-449741,B-394084",,False,
W-636104,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-611567,Other,2023-11-16,2023-11-28,55316831.72,44527472.75,83,"B-862741,B-636266",,False,
W-609472,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-315847,Road,2022-07-07,2021-07-18,12310453.57,8813911.83,67,"B-343841,B-912312,B-620854,B-424866,B-455302",,True,delayed_completion
W-697276,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-646910,Road,2024-06-06,2024-07-03,39061366.76,33959982.83,83,"B-168503,B-112642,B-301450",,False,
W-940654,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-921529,Sanitation,2023-09-27,2023-10-06,36397369.09,29170387.77,82,"B-69327,B-243178,B-318436,B-130693",,False,
W-262695,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-560960,Health,2026-01-20,2026-01-21,29388323.04,20213139.42,43,"B-333848,B-958287,B-804554",,False,
W-959661,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-638728,Sanitation,2022-12-27,2023-01-18,29107487.54,24349225.87,63,"B-497118,B-836067",,False,
W-954668,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-207578,Road,2023-12-04,2023-12-23,22842557.36,20756721.42,95,"B-321045,B-8579,B-801529,B-945499",,False,
W-408727,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-DUP-006,Education,2021-09-30,2021-10-14,33181382.02,30481304.36,54,"B-940862,B-804137",,True,duplicate_vendor
W-456355,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-645232,Education,2022-02-10,2022-02-10,15425137.31,10484709.46,82,"B-824549,B-127402,B-927228,B-14759",,False,
W-605821,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-69427,Sanitation,2024-11-06,2024-11-22,36407751.86,25602647.87,89,"B-759692,B-266415,B-538429,B-484984",,False,
W-437384,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-352290,Other,2024-06-02,2024-06-07,6557403.98,5769110.41,65,"B-451182,B-626219,B-416774",,False,
W-712732,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-438647,Road,2022-04-01,2022-04-14,9342033.88,7001844.95,76,"B-320182,B-345604,B-496232,B-802375",,False,
W-500683,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-873762,Health,2024-07-09,2024-07-21,22508733.58,15281730.09,55,"B-859557,B-657397",,False,
W-460589,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-734314,Other,2025-09-17,2025-09-21,52205109.72,37419573.87,62,"B-557303,B-283455,B-140040,B-439992",,False,
W-389520,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-974565,Water,2023-04-10,2023-05-08,29105633.39,20616539.36,70,"B-918417,B-799134,B-258242",,False,
W-727837,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-606398,Other,2023-09-21,2023-09-21,29633690.86,26297612.19,81,"B-464342,B-303767,B-281376,B-720713",,False,
W-518405,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-424349,Education,2024-08-15,2024-08-25,17798546.6,14999766.61,73,"B-445345,B-702352",,False,
W-646488,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-158648,Health,2021-10-29,2021-11-20,17522019.43,13793621.8,40,"B-83279,B-36218,B-161133,B-595078,B-340239",,False,
W-747428,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-267089,Water,2025-07-02,2025-08-03,87051585.89,73275687.75,62,"B-616295,B-65853,B-306006",,False,
W-243137,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-267914,Health,2022-01-24,2022-02-13,46511500.85,30582487.5,44,"B-354847,B-962305,B-207043,B-184405,B-344864",,False,
W-465437,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-193479,Education,2023-12-25,2024-01-10,12701913.26,11537181.16,38,"B-665016,B-686246",,False,
W-874674,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-666977,Education,2025-09-17,2025-09-17,19287167.74,13429311.57,89,"B-270382,B-38703,B-794038",,False,
W-953640,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-314483,Health,2025-09-05,2025-09-16,54460286.94,47480614.67,41,"B-853350,B-50563",,False,
W-308627,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-236573,Water,2026-05-20,2026-05-28,32275371.49,40473357.35,97,"B-159573,B-354457,B-602137,B-636676,B-359416",,True,cost_overrun
W-955293,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-747290,Sanitation,2025-01-22,2025-08-16,40242173.82,38321974.59,49,"B-459706,B-734225,B-718159,B-772542,B-186867",,True,sanction_delay
W-475431,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-118715,Health,2025-04-04,2025-04-22,8352987.66,6135006.15,95,"B-209430,B-361003,B-703442,B-787255,B-972488",,False,
W-274134,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-738225,Water,2022-11-16,2022-11-21,68761002.29,45713724.23,53,"B-652184,B-500420,B-558632",,False,
W-580932,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-752462,Other,2022-01-30,2022-03-05,33578723.0,31706826.65,40,"B-436114,B-679703,B-677929,B-142243",,False,
W-426283,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-704214,Other,2025-01-22,2025-02-22,35572287.05,33610026.89,42,"B-902243,B-836845,B-3742,B-288073",,False,
