work_id,mp_name,house,state,constituency,vendor_id,work_category,recommended_date,sanction_date,sanctioned_amount,expenditure_amount,completion_percent,beneficiary_ids,tenure_end,is_anomaly,anomaly_type,expenditure_ratio,days_since_sanction,days_since_recommendation,sanction_gap_days,is_overdue,vendor_work_count,beneficiary_work_count,house_Lok Sabha,house_Rajya Sabha,work_category_Education,work_category_Health,work_category_Other,work_category_Road,work_category_Sanitation,work_category_Water
W-895408,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-243175,Sanitation,2024-05-15,2024-06-09,29645685.57,20523041.06,82,"B-108302,B-523421,B-592264,B-158437,B-875054",,False,,0.6922774989143218,815,840,25,True,1,5,True,False,False,False,False,False,True,False
W-100818,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-264852,Education,2026-08-12,2026-08-29,136994307.6,130943604.17,57,"B-803404,B-273809,B-355342,B-579335,B-987146",,False,,0.9558324463548733,4,21,17,False,1,5,True,False,True,False,False,False,False,False
W-910203,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,Maharashtra,HINGOLI,V-519290,Health,2024-05-30,2024-06-13,22698001.62,18075024.4,85,"B-672158,B-896999,B-112466",,False,,0.796326685608898,811,825,14,True,1,3,True,False,False,True,False,False,False,False
W-941432,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-696489,Sanitation,2022-01-18,2022-02-14,32234788.07,23023077.62,57,"B-654231,B-192261,B-98978",,False,,0.7142307735978858,1661,1688,27,True,1,3,True,False,False,False,False,False,True,False
W-992238,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-883307,Education,2026-07-06,2026-07-07,44995643.43,31538145.37,80,"B-595125,B-177250,B-590316,B-321236",,False,,0.7009155323906877,57,58,1,False,1,4,True,False,True,False,False,False,False,False
W-689942,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-731206,Other,2022-02-27,2022-03-25,21452341.53,20793287.24,60,"B-560589,B-449741,B-394084",,False,,0.9692782119341915,1622,1648,26,True,1,3,True,False,False,False,True,False,False,False
W-636104,ABDUL RASHID SHEIKH,Lok Sabha,Jammu And Kashmir,BARAMULLAH,V-611567,Other,2023-11-16,2023-11-28,55316831.72,44527472.75,83,"B-862741,B-636266",,False,,0.8049534177117547,1009,1021,12,True,1,2,True,False,False,False,True,False,False,False
W-609472,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-315847,Road,2022-07-07,2021-07-18,12310453.57,8813911.83,67,"B-343841,B-912312,B-620854,B-424866,B-455302",,True,delayed_completion,0.7159697065491634,1872,1518,-354,True,1,5,True,False,False,False,False,True,False,False
W-697276,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-646910,Road,2024-06-06,2024-07-03,39061366.76,33959982.83,83,"B-168503,B-112642,B-301450",,False,,0.8694007825854172,791,818,27,True,1,3,True,False,False,False,False,True,False,False
W-940654,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-921529,Sanitation,2023-09-27,2023-10-06,36397369.09,29170387.77,82,"B-69327,B-243178,B-318436,B-130693",,False,,0.8014422058327951,1062,1071,9,True,1,4,True,False,False,False,False,False,True,False
W-262695,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-560960,Health,2026-01-20,2026-01-21,29388323.04,20213139.42,43,"B-333848,B-958287,B-804554",,False,,0.6877949242795585,224,225,1,False,1,3,True,False,False,True,False,False,False,False
W-959661,ABHAY KUMAR SINHA,Lok Sabha,Bihar,AURANGABAD_BR,V-638728,Sanitation,2022-12-27,2023-01-18,29107487.54,24349225.87,63,"B-497118,B-836067",,False,,0.8365279152499467,1323,1345,22,True,1,2,True,False,False,False,False,False,True,False
W-954668,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-207578,Road,2023-12-04,2023-12-23,22842557.36,20756721.42,95,"B-321045,B-8579,B-801529,B-945499",,False,,0.908686409007227,984,1003,19,True,1,4,True,False,False,False,False,True,False,False
W-408727,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-DUP-006,Education,2021-09-30,2021-10-14,33181382.02,30481304.36,54,"B-940862,B-804137",,True,duplicate_vendor,0.918626726928597,1784,1798,14,True,6,2,True,False,True,False,False,False,False,False
W-456355,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-645232,Education,2022-02-10,2022-02-10,15425137.31,10484709.46,82,"B-824549,B-127402,B-927228,B-14759",,False,,0.6797157943743453,1665,1665,0,True,1,4,True,False,True,False,False,False,False,False
W-605821,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-69427,Sanitation,2024-11-06,2024-11-22,36407751.86,25602647.87,89,"B-759692,B-266415,B-538429,B-484984",,False,,0.7032196870724333,649,665,16,True,1,4,True,False,False,False,False,False,True,False
W-437384,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-352290,Other,2024-06-02,2024-06-07,6557403.98,5769110.41,65,"B-451182,B-626219,B-416774",,False,,0.8797857242890196,817,822,5,True,1,3,True,False,False,False,True,False,False,False
W-712732,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-438647,Road,2022-04-01,2022-04-14,9342033.88,7001844.95,76,"B-320182,B-345604,B-496232,B-802375",,False,,0.7494989891858538,1602,1615,13,True,1,4,True,False,False,False,False,True,False,False
W-500683,ABHIJIT GANGOPADHYAY,Lok Sabha,West Bengal,TAMLUK,V-873762,Health,2024-07-09,2024-07-21,22508733.58,15281730.09,55,"B-859557,B-657397",,False,,0.6789244732799401,773,785,12,True,1,2,True,False,False,True,False,False,False,False
W-460589,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-734314,Other,2025-09-17,2025-09-21,52205109.72,37419573.87,62,"B-557303,B-283455,B-140040,B-439992",,False,,0.7167799104474327,346,350,4,False,1,4,True,False,False,False,True,False,False,False
W-389520,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-974565,Water,2023-04-10,2023-05-08,29105633.39,20616539.36,70,"B-918417,B-799134,B-258242",,False,,0.7083350183021047,1213,1241,28,True,1,3,True,False,False,False,False,False,False,True
W-727837,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-606398,Other,2023-09-21,2023-09-21,29633690.86,26297612.19,81,"B-464342,B-303767,B-281376,B-720713",,False,,0.8874227754564624,1077,1077,0,True,1,4,True,False,False,False,True,False,False,False
